Company Name,Country,Location & Zone,Description
Piton Systems Pvt. Ltd.,IN,"Visit us at stand RH.K64 , subevent P-MEC India 2025",
FSP Technologies,IN,,"Embarking on our journey in 1992, FSP Technologies started as a budding entity in the filtration market. Today, we proudly stand as a versatile industry player, serving as one Stop solution for Filtration, Separation and purification needs in Process, Pharmaceutical, Biotech, Chemical, food and Beverage and Energy Industry. O..."
LIFECRAFT ENGINEERING INDIA P LTD,IN,,
IMPTECH SCIENTIFIC,IN,"Visit us at stand RH.K71 , subevent P-MEC India 2025",
FLEXIFOIL PACKAGING PVT LTD,IN,,
Allyd Pharma Technologies Pvt Ltd,IN,,
ROCKWELL AUTOMATION INDIA PVT. LTD.,IN,,"Rockwell Automation, Inc. is a global leader in industrial automation and digital transformation. We connect the imaginations of people with the potential of technology to expand what is humanly possible, making the world more productive and more sustainable. Headquartered in Milwaukee, Wisconsin, Rockwell Automation employs ..."
Mobelchem Specialty Pvt Ltd,IN,,
Mellcon Engineers Private Limited,IN,"Visit us at stand RH.J63 , subevent P-MEC India 2025",
Shalvin,IN,,
Dhruv Remedies Pvt Ltd,IN,,"About Dhruv Remedies Pvt. Ltd. Incorporated in 2011, Dhruv Remedies Pvt. Ltd. has emerged as a trusted and leading manufacturer of high-quality bromine-based derivatives and specialty chemicals. Backed by over 15 years of robust industry experience, the company has leveraged strong R&D capabilities, technical experti..."
OSTECH FLUID TECHNOLOGIES,IN,,
ARaymond India Pvt. Ltd,IN,,
"Amano Enzyme Asia Pacific Co., Ltd",TH,,
WaterSaver Sales Asia Pte Ltd,SG,,"Since the early 1950s, WaterSaver has specialized exclusively in manufacturing fittings for laboratory use. We are the only US company to be so specialized. We believe that our success is based upon our single-minded focus on the laboratory marketpl..."
Pharmaceuticals Exports Promotion Council (Pharmexcil),IN,"Visit us at stand Pavilion , subevent CPHI India 2025",
MOOTEK TECHNOLOGIES PVT.LTD,IN,,
Shankar Nutricon Private Limited,IN,,
Modern Fine Chemicals - Lanolin,IN,,"Modern Group, since 1973 has been constantly developing its core competencies in the textile industry and progressively strengthening its industry.Modern Fine Chemicals is a division of Modern Woollens, established in the year 2016 to manufacture Lanolin & its derivatives. Modern Fine Chemicals is located in Bhilwara,Raja..."
Chukan Butsu (Exim) India Pvt Ltd,IN,,"Chukan Butsu Exim (India) Pvt Ltd., is a trading company specializing in chemicals, established in 2014,located at Vadodara, Gujarat, India. Our parent company Chukan Butsu Shoji Co., Ltd., head office is in Osaka, Japan, which was founded in 1928. ..."
Karcher Cleaning Systems Private Limited,IN,,
Indian Scientific Glass Industries,IN,"Visit us at stand RH.L77 , subevent P-MEC India 2025",Indian Scientific Glass Industries and Khemka Glass Products are leading manufacturers of primary glass packaging since 1956. We manufacture high-quality premium Glass Ampoules and Tubular Vials for leading pharmaceutical companies. Our modern manuf...
Masuu Global Solutions,IN,,"Masuu Global, a distinguished Pharma Regulatory, Quality Services & Software Company with decades of expertise in the pharmaceutical, lifesciences, and medical device industries. Our global team of 300+ Subject Matter Experts (SMEs), including 10 fo..."
WINSSON INDIA,IN,,
VK CLEAN ROOMS,IN,,
TREFOIL PACKAGING PVT LTD,IN,"Visit us at stand RH.A53 , subevent P-MEC India 2025",
SAFE AUTOMATION PRIVATE LIMITED,IN,,
RAJYOG INDUSTRIES,IN,,
PCI Gases India Pvt Ltd,IN,,
MEWAR POLYTEX LIMITED,IN,,
LABOFAB INDIA PVT LTD,IN,"Visit us at stand RH.J62 , subevent P-MEC India 2025",
JOEL PROCESS ENGINEERING PVT LTD,IN,,
HOLOSTIK INDIA LTD,IN,,
ELITECH TECHNOLOGY INC.,IN,,
EAGLE MANUFACTURING COMPANY,IN,"Visit us at stand RH.L65 , subevent P-MEC India 2025",
Durapak,IN,,
Divine Cooling Solutions India Private Limited,IN,,"A Portable Hot & Cold Storage Company - www.DivineCooling.com DCSIPL brings 35+ years of expertise in portable hot & cold storage from -70°C to +100°C. With pan-India presence, our solutions support critical ranges like 2-8°C, 15-25°C & Minus 20°C for pharma-grade storage requirements. ..."
COLDADGE INDIA PRIVATE LIMITED,IN,,
ASHIRWAD PLASTICS,IN,"Visit us at stand RH.M74 , subevent P-MEC India 2025",
ART-O-PRINT,IN,,
AMISHA VINYLS PVT. LTD,IN,,
Qualikems Lifesciences Pvt Ltd,IN,,
Nikvin Healthcare India Pvt Ltd,IN,"Visit us at stand RH.N26 , subevent CPHI India 2025",
Neocat Pvt Ltd,IN,,"Neocat specializes in designing and manufacturing advanced catalysts and catalytic technologies for hydrogenation, oxidation, steam reforming, and gas purification. Its catalysts enable efficient, sustainable processes across pharmaceuticals, fine and specialty chemicals, food and aroma industries, petrochemicals, and fuel ce..."
Raman and Weil Pvt Ltd,IN,"Visit us at stand 1A.L11 , subevent CPHI India 2025",
Naxcuure Healthcare Ltd,IN,"Visit us at stand RH.N18 , subevent CPHI India 2025",
Ultra Biochem India Pvt Ltd,IN,,
Molsyns Research,IN,,"Molsyns Research is focused and customer centric research driven custom research and development organization (CRDOs). Molsyns Research is located at Ahmedabad, having experienced team specialize in the Synthesis services and Analytical Services. Our services are, Peptide Synthesis, custom synthesis, Impurity ..."
ChemScene LLC / Jinay Pharma,IN,"Visit us at stand RH.L09 , subevent CPHI India 2025",
Percos India Pvt Ltd,IN,,
Cdymax (India) Pharma Pvt. Ltd.,IN,,
Ami Lifescience Pvt. Ltd.,IN,,
Barentz Distribution India Pvt Ltd,IN,"Visit us at stand 4.G01 , subevent CPHI India 2025",
Agilent Technologies India Pvt Ltd,IN,,
Pacific Organics Pvt Ltd,IN,"Visit us at stand 7.P01 , subevent CPHI India 2025",
Okay Packaging Private Limited,IN,,
Kores(India) Limited - Pharmaceuticals & Chemicals Division,IN,"Visit us at stand 6.L35 , subevent CPHI India 2025",
Amicogen.INC,KR,,
Vidhi Specialty Food Ingredients Limited,IN,"Visit us at stand RH.K19 , subevent CPHI India 2025",
Novapure Healthcare Pvt Ltd,IN,"Visit us at stand RH.D46 , subevent CPHI India 2025",
R. R. Innovative Pvt Ltd,IN,"Visit us at stand RH.N06 , subevent CPHI India 2025",
Kumar Organics Products Ltd,IN,"Visit us at stand RH.M34 , subevent CPHI India 2025","Kumar Organic Products Limited (KOPL) is a global leader in specialty ingredients for personal care, healthcare, food, and coatings. With 30+ years of expertise, we deliver innovative and sustainable solutions across hair care, skin care, sun care, ..."
Technodry System Engineering Private Limited,IN,"Visit us at stand RH.L53 , subevent P-MEC India 2025",Technodry System Engineering Pvt. Ltd. is a company engaged in serving the process industry to cater to all the requirements related to drying and evaporation. The company is managed by highly experienced industry professionals having rich experienc...
Avantika Medex Pvt Ltd,IN,"Visit us at stand RH.M17 , subevent CPHI India 2025",
Accent Biosciences Pvt Ltd,IN,"Visit us at stand RH.L17 , subevent CPHI India 2025",
ValGenesis,PT,"Visit us at stand 1A.I08 , subevent CPHI India 2025",
S. A. Ingredients Private Limited,IN,"Visit us at stand 6.M02 , subevent CPHI India 2025",
Imkemex Life Science Pvt Ltd,IN,"Visit us at stand 8.S31 , subevent CPHI India 2025",
"Tentamus India Pvt Ltd, (Formally known as Megsan Labs Pvt Ltd)",IN,"Visit us at stand 7.M14 , subevent CPHI India 2025",
Nosch Labs Pvt. Ltd.,IN,"Visit us at stand 3.D11 , subevent CPHI India 2025",
MMM Group,DE,"Visit us at stand RH.L48 , subevent P-MEC India 2025",
Kalpsutra Chemicals Pvt Ltd,IN,"Visit us at stand 7.M11 , subevent CPHI India 2025",
DDE Bioengineering Private Limited,IN,"Visit us at stand 9.B14 , subevent P-MEC India 2025",
Goma Engineering Pvt. Ltd.,IN,"Visit us at stand RH.C65 , subevent P-MEC India 2025",
Gerresheimer AG,IN,"Visit us at stand 14.C06 , subevent P-MEC India 2025",
APK Aquatech Pvt. Ltd.,IN,,
Alivus Lifesciences Ltd,IN,"Visit us at stand RH.E06 , subevent CPHI India 2025",
CAM PAK INDIA PRIVATE LIMITED,IN,"Visit us at stand 11.A27 , subevent P-MEC India 2025",
AVI EXCELLENCE PRIVATE LIMITED,IN,"Visit us at stand 12.B48 , subevent P-MEC India 2025",
Aquatech Systems Asia Pvt Ltd,IN,"Visit us at stand RH.J49 , subevent P-MEC India 2025",
JITSAN ENTERPRISES,IN,"Visit us at stand RH.G71 , subevent P-MEC India 2025",
Plasmagen Biosciences Pvt Ltd,IN,"Visit us at stand 1A.J01 , subevent CPHI India 2025","PlasmaGen Biosciences is an Indian biopharmaceutical company specializing in plasma protein therapies. We manufacture a wide range of products including IVIG, Albumin, Hyperimmunes, and Coagulation Factors to address critical healthcare needs. Found..."
Eqova Medicare Pvt Ltd,IN,"Visit us at stand RH.D42 , subevent CPHI India 2025",
CVR Life Sciences,IN,"Visit us at stand RH.N07 , subevent CPHI India 2025",
Nanjing BioPAS Pharmaceutical Equipment Tech Co.Ltd.,CN,"Visit us at stand RH.C58 , subevent P-MEC India 2025","Nanjing BioPAS Pharmaceutical Equipment Tech.Co.,Ltd, has been dedicating to the pharmaceutical industry for years. Our portfolio includes a serie of products, from benchtop bioreactors to stainless steel bioreactor, fermentor and related sterile co..."
Matrix Pharma Corp,IN,"Visit us at stand RH.E18 , subevent CPHI India 2025",
Nector Foods Pvt Ltd,IN,"Visit us at stand RH.K22 , subevent CPHI India 2025","We, Nector Foods Private Limited, are a leading Manufacturer, Exporter, Supplier, and Trader of Mass Gainer, Chewable Gummies, Protein Powder and many more. We provide this range in various standards and customization options as per the application ..."
cGMP Pharma 'n' Plans Pvt Ltd,IN,"Visit us at stand RH.G34 , subevent CPHI India 2025","cGMP Pharma 'n' Plans is a group of experts having rich experience of Conceptualizing, Designing, Engineering, Project management, Qualification/ Validation & QMS of various pharmaceutical projects. The focus on providing value added services exclus..."
Vestro Group,IN,,"Vestro Group is a pioneering, diversified leader in the chemical industry, offering a comprehensive range of high-quality, specialized products and services through its distinct divisions. With a commitment to excellence, innovation, and sustainabil..."
SUKRUT UV SYSTEMS PRIVATE LIMITED,IN,"Visit us at stand RH.L62 , subevent P-MEC India 2025",
Origin Corporate Services Pvt. Ltd.,IN,,
KK India Petroleum Specialties Pvt Ltd,IN,"Visit us at stand RH.F29 , subevent CPHI India 2025",
Kesar Drugs Pvt Ltd,IN,,
PRECIA MOLEN INDIA PVT LTD,IN,,
Intalio Private Limited,IN,"Visit us at stand RH.M72 , subevent P-MEC India 2025",
Synthimed Labs Pvt Ltd,IN,"Visit us at stand RH.M18 , subevent CPHI India 2025","Headquartered in Chandigarh, India, Synthimed Labs Private Limited. has emerged as a global leader in the manufacturing of APIs, Intermediates, and Contract Manufacturing through collaborative efforts. Boasting three cutting-edge manufacturing sites..."
Tablets (India) Limited,IN,,
KGN Pharmaceuticals Pvt Ltd,IN,"Visit us at stand RH.J21 , subevent CPHI India 2025",
Pacific Plastics Industries Private Limited,IN,,
SESHAASAI TECHNOLOGIES LIMITED .,IN,"Visit us at stand RH.K34 , subevent P-MEC India 2025",
SAMYAG MULTIPLAST LLP,IN,"Visit us at stand RH.L56 , subevent P-MEC India 2025",
Salud Care Group of Companies,IN,"Visit us at stand 1A.M03 , subevent CPHI India 2025",
MAARG TECHNOLOGIES RVI-NDT PVT LTD,IN,"Visit us at stand RH.J29 , subevent P-MEC India 2025",
LNI GAS GENERATORS INDIA PVT. LTD,IN,"Visit us at stand RH.L50 , subevent P-MEC India 2025",
Perfectomatic,IN,"Visit us at stand RH.L42 , subevent P-MEC India 2025",
PAL Pharma Machinery,IN,"Visit us at stand RH.L40 , subevent P-MEC India 2025",
Amnos Lifescience Pvt Ltd,IN,"Visit us at stand RH.G55 , subevent CPHI India 2025",
Sanctus Global Formulations Ltd,IN,"Visit us at stand 1A.D03 , subevent CPHI India 2025",
Ventil Components Private Limited,IN,"Visit us at stand RH.C72 , subevent P-MEC India 2025",
THERMOTECH ENGINEERING & SERVICES Private Limited,IN,"Visit us at stand RH.J35 , subevent P-MEC India 2025",
COPA-DATA India Private Limited,IN,"Visit us at stand RH.J31 , subevent P-MEC India 2025",
4Ma Valves Automation,IN,"Visit us at stand RH.J56 , subevent P-MEC India 2025",
Supermax Laboratories,IN,"Visit us at stand 5.I17 , subevent CPHI India 2025",
Cosmas Research Lab Ltd,IN,"Visit us at stand 1A.D11 , subevent CPHI India 2025",
Chemsynth Fine Chemicals,IN,"Visit us at stand 1A.O09 , subevent CPHI India 2025",
Thirthraj-BGG,IN,"Visit us at stand RH.M06 , subevent CPHI India 2025",
Sudeep Pharma Ltd,IN,"Visit us at stand 6.M32 , subevent CPHI India 2025","For the past 3 Decades, Sudeep Pharma has played a pivotal role in shaping the global pharmaceutical industry, particularly through its exceptional contributions in providing high-quality and affordable excipient solutions. The company has not only ..."
liquitec AG,CH,"Visit us at stand RH.C01 , subevent P-MEC India 2025",
Isotex Corporation Pvt. Ltd.,IN,"Visit us at stand RH.B54 , subevent P-MEC India 2025",
Creative Pharmaceutical Machinery,IN,"Visit us at stand RH.K69 , subevent P-MEC India 2025",
CellBios Healthcare & Lifesciences Pvt. Ltd.,IN,"Visit us at stand RH.D68 , subevent P-MEC India 2025","CellBios® is a leading manufacturer globally in the field of biotechnology, biopharmaceutical and medical technology. Renowned for our groundbreaking innovations, we specialize in developing cutting-edge single-use solutions for cryopreservation, Ce..."
Aykon Bioscience Pvt Ltd,IN,"Visit us at stand 1A.L09 , subevent CPHI India 2025",
Raj Process Equipments & Systems Pvt Ltd,IN,"Visit us at stand RH.L39 , subevent P-MEC India 2025",
MediClave Industries Pvt. Ltd.,IN,"Visit us at stand RH.E67 , subevent P-MEC India 2025",
Jumbo Bag Limited,IN,"Visit us at stand RH.M53 , subevent P-MEC India 2025",
VIAN Turnkey Projects LLP,IN,"Visit us at stand 15A.C39 , subevent P-MEC India 2025",
Unitop Aquacare Limited,IN,"Visit us at stand RH.J70 , subevent P-MEC India 2025",
Techno Instruments,IN,"Visit us at stand RH.E71 , subevent P-MEC India 2025",
Sudinam Pharma Equipments Private Limited,IN,"Visit us at stand RH.K39 , subevent P-MEC India 2025",
Ramya Impex Pvt Ltd,IN,"Visit us at stand RH.F76 , subevent P-MEC India 2025",
Raise Lab Equipment,IN,"Visit us at stand RH.D71 , subevent P-MEC India 2025",
Precious Scientific Glass Works,IN,"Visit us at stand RH.G74 , subevent P-MEC India 2025",
JOGUSU International Private Limited,IN,"Visit us at stand RH.J55 , subevent P-MEC India 2025",
Hexa PharmaChem,IN,"Visit us at stand RH.J40 , subevent P-MEC India 2025",
Empara Systems LLP,IN,,
Clupea India Private Limited,IN,"Visit us at stand RH.J74 , subevent P-MEC India 2025",Clupea's MediLake is a non-clinical and clinical trial data platform for the development of new drugs. The MediLake platform not only provides data solutions that respond to existing clinical trials through EDC/CDMS/CTMS/RTMS/eTMF/eCOA/ePRO solution...
BHAWAL STEEL AGENCY,IN,"Visit us at stand RH.L64 , subevent P-MEC India 2025",
Amarama Engineers,IN,"Visit us at stand RH.K26 , subevent P-MEC India 2025",
Sami-Sabinsa Group Limited,IN,"Visit us at stand RH.G12 , subevent CPHI India 2025",
MSC Amino Pharma Pvt Ltd,IN,"Visit us at stand 4.G34 , subevent CPHI India 2025",
Innovus Cleanroom Technologies,IN,"Visit us at stand RH.C50 , subevent P-MEC India 2025",
GSS Engg Pvt Ltd,IN,"Visit us at stand 15A.C38 , subevent P-MEC India 2025",
Vee Natural,IN,"Visit us at stand RH.M13 , subevent CPHI India 2025",
Right Angle Pharmapack,IN,"Visit us at stand RH.C57 , subevent P-MEC India 2025",
Kerry Ingredients India Pvt Ltd,IN,"Visit us at stand 3.G15 , subevent CPHI India 2025",
ARBROWN India Trading Pvt. Ltd.,IN,"Visit us at stand RH.N33 , subevent CPHI India 2025",
Tabplus Machine And Projects,IN,"Visit us at stand RH.B58 , subevent P-MEC India 2025","We are in to the Manufacturing of Pharmaceutical Machines For Solid Oral Dosage Segment. (i.e. Tablet and Capsules) We do have wide range of machines like, Tablet Press, Fluid Bed Dryer, Rapid Mixing Granulator, Multi Mill, Auto Coater, Metal Detect..."
PharmaSecure PAS India Pvt. Ltd.,IN,"Visit us at stand RH.A73 & RH.L39 , subevent P-MEC India 2025 & P-MEC India 2025",
PANGLOBAL MACHINERIES PVT LTD.,IN,"Visit us at stand RH.L25 , subevent P-MEC India 2025",
Pacifab Technologies,IN,"Visit us at stand RH.J26 , subevent P-MEC India 2025",
NEELAM INDUSTRIES,IN,"Visit us at stand RH.C76 , subevent P-MEC India 2025",
KWENG ALLOYS PRIVATE LIMITED,IN,"Visit us at stand RH.K70 , subevent P-MEC India 2025",
IR Technology Services Pvt. Ltd.,IN,"Visit us at stand RH.J57 , subevent P-MEC India 2025",
HINDAIR INDUSTRIES INDIA PVT LTD,IN,"Visit us at stand RH.E75 , subevent P-MEC India 2025",
Control Print Limited,IN,"Visit us at stand 14.D18 , subevent P-MEC India 2025",
CERACOATS,IN,"Visit us at stand RH.B72 , subevent P-MEC India 2025","We are the manufacturer of MS Glass lined Reactor, Receiver, Column, Heat Exchanger, Pipe & fitting and spares."
Ambika Steel Furniture,IN,"Visit us at stand RH.C71 , subevent P-MEC India 2025",
Shreeshyam Oleo Chemicals Pvt Ltd,IN,"Visit us at stand RH.D59 , subevent CPHI India 2025",
Hema Pharmaceuticals Pvt. Ltd.,IN,"Visit us at stand RH.F55 , subevent CPHI India 2025",
GTZ (India) Pvt Ltd,IN,"Visit us at stand RH.M21 , subevent CPHI India 2025","GTZ India Pvt Ltd, a GMP approved leading R&D and API manufacturer based out of Kolkata, West Bengal, India offers a wide portfolio of services ranging from API's for the generic industry to custom synthesis for early phase pharmaceutical research &..."
Biesterfeld Hildose Speciality Chemicals Pvt Ltd,IN,"Visit us at stand RH.D50 , subevent CPHI India 2025",
Avesta Pharma Pvt Ltd,IN,"Visit us at stand RH.D58 , subevent CPHI India 2025",
Weightronics Industries Pvt Ltd,IN,"Visit us at stand RH.J51 , subevent P-MEC India 2025",
Ultra Clean Room Systems,IN,,"Ultra Clean Room Systems, an ISO 9001:2015 certified organisation,Provides turnkey Cleanroom solutions for various industries, with expertise in designing, manufacturing and commissioning of Modular Walls and Ceilings, Doors, HVAC, Lab Furniture and..."
Tracesci Global Pvt Ltd,IN,"Visit us at stand RH.A68 , subevent P-MEC India 2025","Tracesci (we) excel in delivering cutting-edge global traceability and authentication solutions, engineered to combat the menace of counterfeiting and illicit trade. Our state-of-the-art SaaS platform, fortified by blockchain, empowers both brands a..."
Tanushree Air Techniques Pvt. Ltd.,IN,"Visit us at stand RH.E68 , subevent P-MEC India 2025",
Sunplast,IN,"Visit us at stand RH.C68 , subevent P-MEC India 2025",Sunplast is a manufacturer of Type III PE containers and PP closures for pharmaceutical and nutraceutical industry. We provide a range of PE bottles for solid oral dosage products specific to customers requirements. We provide single source solution...
Right Industries,IN,"Visit us at stand RH.B55 , subevent P-MEC India 2025",
Radcom Packaging Pvt Ltd,IN,"Visit us at stand RH.F66 , subevent P-MEC India 2025","Radcom Packaging Pvt Ltd is one of the leading Manufacturer and Exporter of Packaging products for Pharmaceuticals, Cosmetics, Perfumery and Personal Care Industries. The Company owns its State of Art Class 1 Lakh Clean Room Production Facilities wi..."
Joflo Industries Pvt. Ltd.,IN,"Visit us at stand RH.F62 , subevent P-MEC India 2025",
ITT Tecnik Pvt. Ltd.,IN,"Visit us at stand RH.G65 , subevent P-MEC India 2025",
HINDUSTAN APPARATUS MFG. CO.,IN,"Visit us at stand RH.F74 , subevent P-MEC India 2025",
Harish Pharma Engineering,IN,"Visit us at stand RH.G72 , subevent P-MEC India 2025",
Dotsmark Systems India Pvt. Ltd.,IN,"Visit us at stand RH.C66 , subevent P-MEC India 2025",
CREATIVE PACKAGING SYSTEMS,IN,"Visit us at stand RH.M61 , subevent P-MEC India 2025",
AMR Print and Pack,IN,"Visit us at stand RH.M63 , subevent P-MEC India 2025",
AGI GREENPAC LIMITED,IN,"Visit us at stand RH.F67 , subevent P-MEC India 2025",
Vineeth Precious Catalysts Pvt. Ltd.,IN,"Visit us at stand RH.K10 , subevent CPHI India 2025","Vineeth Precious Catalysts (est. 1992) is one of the leading companies in India engaged in manufacturing, refining and reprocessing of Hydrogenation based catalysts. Our product range includes Raney Nickel Catalysts, Nickel based Salts, Precious Met..."
Topse Process Solutions Pvt. Ltd.,IN,"Visit us at stand 14.B17 , subevent P-MEC India 2025",
Snesmi Techno Pvt Ltd,IN,"Visit us at stand RH.D37 , subevent CPHI India 2025",
S. K. CHEMICAL INDUSTRIES (MUMBAI) PVT LTD,IN,"Visit us at stand RH.M01 , subevent CPHI India 2025",
Prakruti Lifescience Pvt Ltd,IN,"Visit us at stand RH.J07 , subevent CPHI India 2025",
Orgo Pharma & Fuels,IN,"Visit us at stand RH.G41 , subevent CPHI India 2025",
Hosokawa Alpine AG,DE,"Visit us at stand RH.B34 , subevent P-MEC India 2025",
Gracious Pharmaceuticals Pvt Ltd,IN,"Visit us at stand RH.M09 , subevent CPHI India 2025",
CMG Herbals,IN,"Visit us at stand RH.G29 , subevent CPHI India 2025",
Bluecraft Agro Pvt Ltd,IN,"Visit us at stand RH.K04 , subevent CPHI India 2025",
Axiva Sichem Biotech,IN,"Visit us at stand 15.B24 , subevent P-MEC India 2025",
Allcure Remedies,IN,"Visit us at stand RH.G43 , subevent CPHI India 2025",
Thykn (India) International,IN,"Visit us at stand RH.D43 , subevent CPHI India 2025",
SOLBERG International India Pvt. Ltd,IN,"Visit us at stand RH.J42 , subevent P-MEC India 2025",
Om Pharmaceutical Industries,IN,"Visit us at stand RH.E53 , subevent CPHI India 2025",
Necron Pharma Speciality Products Pvt Ltd,IN,"Visit us at stand 8.S38 , subevent CPHI India 2025",
Mecoson Pharmaceuticals Pvt Ltd,IN,"Visit us at stand RH.F54 , subevent CPHI India 2025","A reputed and one of the fastest growing pharmaceutical company doing Manufacturing, Marketing and Exports, dedicated to producing and supplying high-quality pharmaceutical products. With a strong focus on research, innovation and compliance with in..."
Unifab Engineering Project Pvt. Ltd.,IN,"Visit us at stand RH.K35 , subevent P-MEC India 2025",
Radicon Laboratories Ltd,IN,"Visit us at stand RH.E41 , subevent CPHI India 2025",
Chemex Global,IN,"Visit us at stand RH.D59 , subevent CPHI India 2025","Chemex Global , a trusted manufacturer of Active Pharmaceutical Ingredients (APIs) and intermediates based in Guwahati, Assam, India. Our facility is one of the largest in Eastern India and is fully integrated with advanced R&D infrastructure , including Analytical , Chemical Research , and Kilo Lab (Pilot Plant..."
Microwin Labs Pvt Ltd,IN,"Visit us at stand RH.G54 , subevent CPHI India 2025",
Marine Hydrocolloids,IN,"Visit us at stand RH.F43 , subevent CPHI India 2025",
Mahrshee Laboratories Pvt Ltd,IN,"Visit us at stand RH.G52 , subevent CPHI India 2025",
KAG Industries,IN,"Visit us at stand RH.K09 , subevent CPHI India 2025",
Chemtrade Global Impex LLP,IN,"Visit us at stand RH.F57 , subevent CPHI India 2025",
Calibre Chemicals Pvt Ltd,IN,"Visit us at stand RH.D25 , subevent CPHI India 2025",
Nagase India Pvt. Ltd.,IN,"Visit us at stand RH.E34 , subevent CPHI India 2025",
Dayaram Healthcare,IN,"Visit us at stand RH.G38 , subevent CPHI India 2025","For over three decades, Dayaram has been a trusted name in the chemical industry. Quality, commitment, and excellence are at the core of Dayaram Group. We're your trusted partner for all your chemical needs. As a leading manufacturer, exporter and d..."
Aurea Biolabs Pvt Ltd,IN,"Visit us at stand RH.K06 , subevent CPHI India 2025",
Nano Tech Chemical Brothers Pvt Ltd,IN,"Visit us at stand RH.F30 , subevent CPHI India 2025",
Cobotech Machines,IN,"Visit us at stand RH.C28 , subevent P-MEC India 2025",
Rajat Care LLP,IN,"Visit us at stand RH.K01 , subevent CPHI India 2025",
Pragna Group,IN,"Visit us at stand RH.G36 , subevent CPHI India 2025",
Maple Biotech Pvt Ltd,IN,"Visit us at stand RH.J12 , subevent CPHI India 2025",
